TMK13,Bedrooms
2160090130000,2.0
2160090130000,1.0
2160090130000,1.0
2160090130000,1.0
2160090150000,2.0
2160090160000,
2160090200000,1.0
2160090220000,
2160090220000,1.0
2160090230000,2.0
2160090240000,1.0
2160100030000,2.0
2160100050000,1.0
2160100110000,
2160100130000,
2160100160000,
2170010050000,2.0
2170010070000,
2170010080000,3.0
2170010090000,
2170010170000,3.0
2170010200000,3.0
2170010490000,1.0
2170020030000,1.0
2170020060000,1.0
2170020080000,3.0
2170020120000,
2170020150000,3.0
2170020160000,3.0
2170020170000,3.0
2170020210000,3.0
2170020260000,
2170020280000,3.0
2170020390000,
2170020390000,
2170020390000,
2170020400000,3.0
2170020750000,2.0
2170020790000,2.0
2170030040000,1.0
2170030080000,2.0
2170030140000,1.0
2170030160000,1.0
2170030190000,
2170030380000,4.0
2170030390000,3.0
2170030400000,
2170030460000,
2170030480000,
2170030560000,4.0
2170030650000,3.0
2170030700000,
2170040040000,1.0
2170040040000,5.0
2170040040000,4.0
2170040040000,4.0
2170040040000,1.0
2170040040000,3.0
2170040040000,3.0
2170040040000,3.0
2170040040000,2.0
2170040040000,1.0
2180010040000,2.0
2180010040000,2.0
2190010030000,2.0
2190010040000,1.0
2190010090000,
2190010090000,
2210020230000,2.0
2210020230000,3.0
2210020230000,1.0
2210030080000,
2210030100000,
2210030110000,3.0
2210030150000,2.0
2210030160000,4.0
2210030180000,1.0
2210030180000,1.0
2210030220000,2.0
2210030250000,3.0
2210030250000,1.0
2210030250000,
2210030270000,1.0
2210030270000,1.0
2210030270000,
2210030270000,
2210030280000,3.0
2210030290000,4.0
2210030340000,2.0
2210030400000,2.0
2210030400000,3.0
2210030410000,1.0
2210030410000,2.0
2210030410000,2.0
2210030420000,2.0
2210030420000,1.0
2210030510000,2.0
2210030510000,1.0
2210040460000,3.0
2210040470000,3.0
2210040480000,2.0
2210040800000,3.0
2210040840000,1.0
2210040840000,1.0
2210040840000,2.0
2210040840000,5.0
2210040840000,2.0
2210040870001,3.0
2210040880000,1.0
2210040900000,2.0
2210040920000,4.0
2210040930000,2.0
2210040930000,2.0
2210040950000,1.0
2210040980000,2.0
2210040990000,2.0
2210041000000,2.0
2210041000000,
2210041010000,1.0
2210041010000,0.0
2210041040000,
2210041050000,1.0
2210041050000,3.0
2210041120000,2.0
2210041120000,2.0
2210041160000,2.0
2210041160000,2.0
2210041180000,2.0
2210041180000,3.0
2210041280000,1.0
2210041310000,3.0
2210050120000,
2210050120000,
2210050490003,2.0
2210050500000,2.0
2210050520000,3.0
2210050530000,1.0
2210050630000,1.0
2210050630000,
2210050630000,2.0
2210050790000,4.0
2210050790000,1.0
2210050810000,5.0
2210050860056,4.0
2210050860057,4.0
2210050860058,4.0
2210050860059,4.0
2210050860060,4.0
2210050860061,4.0
2210050860062,4.0
2210050860063,4.0
2210050860067,4.0
2210050860068,4.0
2210050860069,3.0
2210050860070,3.0
2210050860071,4.0
2210050860072,4.0
2210050860073,4.0
2210050860074,4.0
2210050860075,3.0
2210050860076,3.0
2210050860077,4.0
2210050860078,4.0
2210050860083,4.0
2210050860084,4.0
2210050860085,3.0
2210050860086,3.0
2210050860087,4.0
2210050860088,4.0
2210050860089,4.0
2210050860090,4.0
2210050860091,3.0
2210050860092,3.0
2210050860093,4.0
2210050860094,4.0
2210050860095,4.0
2210050860096,4.0
2210050860097,3.0
2210050860098,3.0
2210050860099,4.0
2210050860100,4.0
2210050860101,4.0
2210050860102,4.0
2210050860103,5.0
2210050860104,5.0
2210050860105,5.0
2210050860106,5.0
2210050860107,5.0
2210050860108,5.0
2210050860109,5.0
2210050860110,5.0
2210050860111,5.0
2210050860112,5.0
2210050860113,2.0
2210050860114,2.0
2210050860115,2.0
2210050860116,2.0
2210050860117,2.0
2210050860118,2.0
2210050860119,2.0
2210050860120,2.0
2210050860121,2.0
2210050860122,2.0
2210050860123,2.0
2210050860124,2.0
2210050860125,3.0
2210050860126,1.0
2210050860127,1.0
2210050930000,3.0
2210050930000,1.0
2210051080000,1.0
2210051100000,2.0
2210051160000,4.0
2210051160000,2.0
2210051170000,3.0
2210051230000,
2210051260000,5.0
2210051270000,3.0
2210051270000,1.0
2210051280000,4.0
2210060060000,2.0
2210060070000,3.0
2210060080000,5.0
2210060080000,2.0
2210060110000,2.0
2210060110000,2.0
2210060120000,3.0
2210060120000,1.0
2210060150000,3.0
2210060160000,5.0
2210060340000,4.0
2210060370002,4.0
2210060370003,3.0
2210060370004,5.0
2210060370006,4.0
2210060370007,5.0
2210060370009,5.0
2210060370010,4.0
2210060370011,4.0
2210060370017,4.0
2210060370018,4.0
2210060370019,4.0
2210060370020,4.0
2210060370021,4.0
2210060370022,4.0
